Country Name,hospital_beds_per_1000,health_workers_pct,handwashing_pct,glbl_population_pct,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,Confirmed,Deaths,confirmed_cases_per_1000,Deaths_per_1000
"Gambia, The",1.0750863452691466,0.594,0.07402064794469722,1065679.05,4.4,18.6,23.6,20.9,74.3,43.8,0.1,1.6,1.8,72.0,89.30934579439251,4.0,0.0,0.003753475307598474,0.0
Guinea-Bissau,1.4616264206981442,1.645,0.06423868322199218,1065454.0666666667,6.1,44.3,35.4,39.1,98.0,20.3,0.2,1.4,37.937142857142874,24.0,89.30934579439251,248246.0,3230.0,232.99549719365345,3.0315713281805174
Equatorial Guinea,2.516505289077758,0.508,0.23134219849145093,543252.5333333333,3.4,23.5,72.8,281.4,838.7,1.2,0.4,0.5,37.937142857142874,54.0,89.30934579439251,432899.0,6964.0,796.8651289001506,12.819084261365004
Greece,4.974999994042591,0.38933162106225067,0.4854848886185773,9986905.683333332,8.5,60.7,34.3,1510.7,2261.2,0.3,4.6,3.4,163.5,100.0,100.0,904198.0,34196.0,90.53835378749723,3.4240836034997373
Grenada,5.06084011395664,0.43416666666666665,0.4854848886185773,99158.59999999999,5.2,41.3,57.8,516.4,745.1,0.9,1.4,3.1,12.6,84.10493827160494,100.0,3856.0,0.0,38.88719687450207,0.0
Greenland,14.353400230407699,0.38933162106225067,0.4854848886185773,51470.88333333333,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,37.937142857142874,84.10493827160494,89.30934579439251,3.0,0.0,0.058285380116201616,0.0
Guatemala,1.063758092764688,0.38933162106225067,0.7659868398124209,9500564.266666666,5.8,37.2,53.3,241.4,462.4,0.9,0.4,0.9,3.4,96.0,92.0,5271374.0,198429.0,554.8485176291003,20.8860226014365
Guam,3.9737088135923577,0.38933162106225067,0.4854848886185773,124274.46666666667,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,37.937142857142874,84.10493827160494,89.30934579439251,6.0,0.0,0.04828023133741068,0.0
Guyana,3.2748070716864337,0.3255,0.7713114262745726,735903.8166666668,4.2,58.9,35.1,192.3,332.7,5.9,0.8,1.3,8.8,89.0,81.0,87067.0,3480.0,118.31301595142787,4.728878857787325
"Hong Kong SAR, China",4.146939833958945,0.38933162106225067,0.4854848886185773,5589003.416666667,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,27.8,84.10493827160494,89.30934579439251,410886.0,5193.0,73.51686327024224,0.929145969836811
Honduras,1.0439594559364986,0.38933162106225067,0.8397951946990975,5287336.883333333,8.4,45.9,45.0,199.6,400.3,3.1,0.3,0.9,13.7,93.6,17.0,4528158.0,139992.0,856.4156398419768,26.47684516590588
Croatia,6.305861121815814,0.38933162106225067,0.4854848886185773,4430819.533333334,7.2,78.2,15.4,884.5,1705.2,9.116766467065869,3.0,8.1,81.2,100.0,100.0,839261.0,21130.0,189.4143947155118,4.76886947009186
Haiti,0.7815848003722347,0.38933162106225067,0.2412437808078203,7162614.833333333,5.4,15.3,41.7,37.7,95.4,38.4,0.2,0.7,5.9,84.8,89.30934579439251,800827.0,18124.0,111.80651460875939,2.530360827955545
Hungary,7.830000066755,0.38933162106225067,0.4854848886185773,10266520.549999999,7.4,65.9,29.7,942.6,1963.2,0.0,3.2,6.6,55.7,100.0,100.0,852030.0,87105.0,82.99111620635679,8.484373997576034
Indonesia,0.7126171406105972,0.0,0.7113003353026758,178031170.98333335,3.1,44.7,37.3,111.6,362.7,0.4,0.4,2.1,37.937142857142874,72.0,89.30934579439251,13770880.0,632635.0,77.350948847543,3.553506930869005
India,0.7212655749971214,0.5609090909090909,0.5936272564122149,880586717.4,3.7,25.4,64.6,62.7,241.5,1.0,0.8,2.1,6.8,79.7,89.30934579439251,238342983.0,4630497.0,270.6638406989899,5.258422490940925
Ireland,5.820588221269563,0.38933162106225067,0.4854848886185773,3669653.85,7.4,72.1,13.0,4758.6,5299.7,0.0,3.1,14.3,72.0,100.0,100.0,4236625.0,264991.0,1154.5026242734039,72.21144304932193
"Iran, Islamic Rep.",1.466468480356147,0.364,0.4854848886185773,52015750.1,8.1,54.5,38.8,415.4,1563.8,0.0,1.1,1.9,5.0,99.0,89.30934579439251,40402355.0,2226900.0,776.733103383623,42.812032811577204
Iraq,1.4532745480565294,0.006,0.9193742294041054,19387409.3,3.3,21.1,78.5,152.6,493.7,0.4,0.8,1.7,7.6,99.0,65.0,15665772.0,505816.0,808.0384417323876,26.089922184703656
Iceland,9.376955009536747,0.38933162106225067,0.4854848886185773,257333.69999999998,8.3,81.5,16.9,5063.6,4245.1,0.0,4.0,15.7,101.6,100.0,100.0,342923.0,1721.0,1332.6004328232175,6.687814304927804
Israel,5.241464922166434,0.38933162106225067,0.4854848886185773,5124043.666666667,7.3,62.5,23.0,2837.1,2843.0,1.5,3.2,5.2,75.6,100.0,100.0,9435862.0,81427.0,1841.487429426668,15.891160438328296
Italy,7.516981177061337,0.38933162106225067,0.4854848886185773,56415606.050000004,8.9,74.5,23.1,2738.7,3427.3,9.116766467065869,4.1,5.9,142.4,100.0,100.0,42231668.0,5762224.0,748.5813050128528,102.13883007643413
Jamaica,2.3001794016398938,0.27216666666666667,0.6637130871200408,2364430.483333333,6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98.0,89.30934579439251,193899.0,2541.0,82.00664023187713,1.0746773981774005
Jordan,1.710278004645764,0.193,0.4854848886185773,4202662.316666666,5.5,63.2,28.0,223.5,494.8,5.7,2.3,3.4,24.5,98.0,65.0,222336.0,1985.0,52.903608057747874,0.47231965131435993
Japan,14.079999981834769,0.38933162106225067,0.4854848886185773,118144498.51666667,10.9,83.6,13.5,4233.0,4592.4,0.0,2.4,11.5,37.4,100.0,100.0,5500531.0,155353.0,46.55765667517763,1.3149406189073147
Kazakhstan,10.288549939326652,0.38933162106225067,0.9787791197967127,14916954.408333333,3.5,58.8,35.6,262.0,858.8,1.2,3.3,8.5,73.2,100.0,91.0,8386097.0,94676.0,562.185602398511,6.346871982601851
Kenya,1.465528008941318,0.38933162106225067,0.19150460387845086,25557659.483333334,4.5,36.2,27.7,66.2,143.5,19.5,0.2,1.5,2.4,66.9,89.30934579439251,2271056.0,40862.0,88.86009305668235,1.598816199372518
Kyrgyz Republic,8.550879430766587,0.38933162106225067,0.8917886707146527,4230413.333333334,6.6,39.1,57.6,72.9,240.2,3.3,1.9,6.4,50.1,98.0,96.0,3043618.0,85805.0,719.4611401249995,20.282888039309
Cambodia,0.9738348832142913,0.125,0.6563351350693776,10031557.950000001,6.1,21.8,58.6,77.7,228.6,18.9,0.2,1.0,4.2,73.3,89.30934579439251,32491.0,0.0,3.238878762595395,0.0
"Korea, Rep.",5.949565202867439,0.34416666666666673,0.4854848886185773,41248961.800000004,7.3,59.2,33.3,2043.9,2711.7,0.0,2.4,7.0,49.6,84.10493827160494,99.0,2717610.0,52514.0,65.8831127235789,1.2730987086322254
Kuwait,2.616168060304571,0.38933162106225067,0.4854848886185773,1839831.7719298247,3.9,83.9,16.1,1068.3,2899.3,0.0,2.6,7.0,37.937142857142874,84.10493827160494,95.0,7908317.0,53141.0,4298.3913641761155,28.88361904102769
Lebanon,3.250666971206138,0.38933162106225067,0.4854848886185773,3534589.6166666667,8.0,52.1,32.1,662.1,1147.4,0.8,2.3,2.6,87.4,100.0,89.30934579439251,1040531.0,12448.0,294.38523643411935,3.521766697130521
Liberia,1.209265065193178,0.061,0.011688011674637866,2454237.5666666664,9.6,14.2,47.3,68.3,133.1,30.1,0.0,0.1,0.6,24.6,89.30934579439251,125964.0,8019.0,51.32510467235806,3.2674098501765525
Libya,3.813378722668142,0.38933162106225067,0.4854848886185773,4196991.216666667,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,2.2,6.7,37.937142857142874,84.10493827160494,89.30934579439251,844938.0,14874.0,201.31993525377604,3.5439673880979012
Liechtenstein,3.9737088135923577,0.38933162106225067,0.4854848886185773,28567.216666666664,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,71.9,100.0,89.30934579439251,16190.0,174.0,566.7335459702351,6.090897899865406
Sri Lanka,2.9940815278489383,0.38933162106225067,0.4854848886185773,16535948.066666668,3.9,43.1,50.1,153.1,491.5,1.1,1.0,2.1,2.8,84.10493827160494,89.30934579439251,341900.0,1786.0,20.676165564961195,0.10800711231067767
Lesotho,1.4441551089286824,0.38933162106225067,0.02042134780070431,1585232.0,8.1,63.8,18.9,85.5,242.7,17.3,0.1,0.7,0.6,43.3,89.30934579439251,65735.0,1704.0,41.46711648515801,1.0749215256820455
Lithuania,9.802936649321966,0.38933162106225067,0.4854848886185773,3276832.0666666664,6.7,65.6,32.3,987.9,1978.3,1.0,4.3,7.9,130.9,100.0,100.0,349528.0,11880.0,106.66643663419555,3.6254528026774477
Luxembourg,6.420000025429067,0.38933162106225067,0.4854848886185773,413803.35000000003,6.2,81.2,11.2,6271.4,6374.2,1.2,3.0,12.3,80.8,100.0,100.0,920324.0,18711.0,2224.061260016382,45.217130310810674
Latvia,10.058149979909038,0.38933162106225067,0.4854848886185773,2337794.8666666667,6.2,54.6,44.6,874.2,1589.7,0.0,3.2,4.8,67.6,100.0,100.0,197813.0,4403.0,84.61520846867573,1.883398780098271
"Macao SAR, China",7.70834326744078,0.38933162106225067,0.4854848886185773,362507.81666666665,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,37.937142857142874,84.10493827160494,89.30934579439251,8881.0,0.0,24.498782072239454,0.0
Morocco,1.0860260870161274,0.38933162106225067,0.4854848886185773,24226404.166666668,5.8,46.9,48.6,171.5,465.7,0.7,0.7,1.1,3.7,96.0,24.3,4364349.0,81997.0,180.148443408079,3.384612897394836
Monaco,17.923139907836223,0.38933162106225067,0.4854848886185773,29687.75,1.7,79.6,7.1,2939.8,3019.1,9.116766467065869,6.6,20.3,195.6,100.0,80.0,20790.0,591.0,700.288839672929,19.907200781467104
Moldova,9.666605887693596,0.38933162106225067,0.8715616910036588,2721624.9166666665,9.0,48.8,46.3,171.2,480.4,3.7,3.2,4.5,86.1,100.0,90.0,3181997.0,94837.0,1169.1533908710603,34.845727425273736
Madagascar,1.354897980179596,0.38933162106225067,0.2980448126909413,13094836.450000001,6.0,47.7,22.4,24.1,90.4,25.1,0.2,0.1,0.8,83.0,89.30934579439251,1029689.0,11910.0,78.63320812991138,0.9095188050248615
Maldives,2.320466671,1.4308749999999997,0.9578944297633416,239010.36666666667,10.6,72.6,19.1,1047.8,1628.5,0.5,1.0,4.0,4.8,98.8,84.0,579032.0,2198.0,2422.6229517799156,9.19625383055212
